,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
0,17 seconds ago,2019-20 Rudy Gobert,Base Set,Utah Jazz,Dunk,42.00 USD,$42.00,2344.0,phongqbanh,Spartanking8,
1,17 seconds ago,NBA Top Shot (SN# 2265752),,,,4.00 USD,$4.00,,half_court_shot,dyl702,
2,17 seconds ago,2020-21 Jordan Clarkson,Base Set,Utah Jazz,Dunk,4.00 USD,$4.00,4449.0,Kate,Bounce1,
3,22 seconds ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,178.00 USD,$178.00,3220.0,pingu,skrt,
4,29 seconds ago,2019-20 Josh Hart,Base Set,New Orleans Pelicans,Layup,14.00 USD,$14.00,3285.0,KingsOfCardio,0x837ae1...da577b,
5,31 seconds ago,2020-21 Draymond Green,Base Set,Golden State Warriors,Assist,4.00 USD,$4.00,8340.0,Always_Hoops,DDSF15,
6,34 seconds ago,2019-20 Luguentz Dort,Base Set,Oklahoma City Thunder,Dunk,95.00 USD,$95.00,1317.0,Takeflight,PullParadox,
7,43 seconds ago,2020-21 Kira Lewis Jr.,Base Set,New Orleans Pelicans,Layup,70.00 USD,$70.00,896.0,ayasin413,stormVIII,
8,45 seconds ago,2020-21 Jordan Clarkson,Base Set,Utah Jazz,Dunk,4.00 USD,$4.00,3887.0,BlueDevils09,Bounce1,
9,45 seconds ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,10.00 USD,$10.00,6823.0,Jam1995,Baraboomba,
10,59 seconds ago,2020-21 Bojan Bogdanović,Base Set,Utah Jazz,Layup,2.00 USD,$2.00,1385.0,Steef,JoshAHoops,
11,1 minute ago,2019-20 Serge Ibaka,Metallic Gold LE,Toronto Raptors,Dunk,211.00 USD,$211.00,103.0,NFTking,Sharkanadoo,
12,1 minute ago,2020-21 Kawhi Leonard,Base Set,LA Clippers,Layup,38.00 USD,$38.00,3180.0,rba333,Bruinboy_916,
13,1 minute ago,NBA Top Shot (SN# 2141137),,,,28.00 USD,$28.00,,nbalive99,olizzo55,
14,1 minute ago,2019-20 LaMarcus Aldridge,Base Set,San Antonio Spurs,Jump Shot,21.00 USD,$21.00,2527.0,Rocky,Spawn,
15,1 minute ago,2020-21 Devin Vassell,Base Set,San Antonio Spurs,3 Pointer,52.00 USD,$52.00,1636.0,pingu,Breeza,
16,1 minute ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,6.00 USD,$6.00,4078.0,dun,0x653ee7...e0907c,
17,1 minute ago,2019-20 Seth Curry,Base Set,Dallas Mavericks,Assist,29.00 USD,$29.00,3143.0,jhuynh59,hippychickcher,
18,1 minute ago,2020-21 Otto Porter Jr.,Base Set,Chicago Bulls,Jump Shot,2.00 USD,$2.00,5541.0,draftaddict,bibaboba,
19,1 minute ago,2020-21 Nikola Vučević,Base Set,Orlando Magic,Layup,3.00 USD,$3.00,3281.0,Elementary_Maltese,thegraymatters,
20,1 minute ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,499.00 USD,$499.00,2.0,Squirtle,ekaitza,
21,1 minute ago,2019-20 Josh Richardson,Base Set,Philadelphia 76ers,Block,15.00 USD,$15.00,2531.0,KingsOfCardio,bmwbeetle,
22,1 minute ago,2020-21 Fred VanVleet,Base Set,Toronto Raptors,3 Pointer,3.00 USD,$3.00,8679.0,LosAngelesLakers,Bounce1,
23,1 minute ago,2019-20 Kemba Walker,Base Set,Boston Celtics,Layup,60.00 USD,$60.00,768.0,yokomson,ThurmanMurman69,
24,1 minute ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,40.00 USD,$40.00,9758.0,Slick,0x7f8f16...2b3d44,
25,1 minute ago,2019-20 CJ McCollum,Base Set,Portland Trail Blazers,Dunk,54.00 USD,$54.00,1016.0,webhe4d,0xa39cd4...fc2d9d,
26,2 minutes ago,2020-21 Deandre Ayton,Base Set,Phoenix Suns,Dunk,9.00 USD,$9.00,4350.0,LosAngelesLakers,dependable_vervet_monkey6157,
27,2 minutes ago,2019-20 Damian Lillard,Base Set,Portland Trail Blazers,Layup,124.00 USD,$124.00,2340.0,nextgencollecting,dansilver,
28,2 minutes ago,2019-20 Malcolm Brogdon,Got Game,Indiana Pacers,Assist,199.00 USD,$199.00,115.0,GreekFreak34,khrtcml,
29,2 minutes ago,2020-21 Kawhi Leonard,Base Set,LA Clippers,Layup,37.00 USD,$37.00,6178.0,elpresidente,dpd2k10,
30,2 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,74.00 USD,$74.00,4754.0,blakemo92,KingsGambit,
31,2 minutes ago,2020-21 Stanley Johnson,Base Set,Toronto Raptors,Dunk,5.00 USD,$5.00,2327.0,krot,dyl702,
32,2 minutes ago,2019-20 Danny Green,Base Set,Los Angeles Lakers,Dunk,44.00 USD,$44.00,422.0,Cryptodelphia,Kelekin,
33,2 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Dunk,54.00 USD,$54.00,4084.0,jv2pt0,Johnnycrypto,
34,2 minutes ago,2020-21 Ish Smith,Base Set,Washington Wizards,Assist,2.00 USD,$2.00,5345.0,PunchingDonkeys,bibaboba,
35,2 minutes ago,2020-21 Nikola Vučević,Base Set,Orlando Magic,Layup,9.00 USD,$9.00,718.0,baller_basket,Tommy_Gambles24,
36,2 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11846.0,tmoney7004,thetruth777,
37,2 minutes ago,2019-20 Luka Dončić,Base Set,Dallas Mavericks,3 Pointer,700.00 USD,$700.00,1573.0,scorbles,TMPDUMAS,
38,2 minutes ago,2019-20 Rui Hachimura,Base Set,Washington Wizards,Dunk,88.00 USD,$88.00,3603.0,grundum,TheGloveGP,
39,3 minutes ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,8.00 USD,$8.00,680.0,Omer,BeerdadB,
40,3 minutes ago,2019-20 Landry Shamet,Base Set,Los Angeles Clippers,Dunk,15.00 USD,$15.00,2048.0,KingsOfCardio,Kelekin,
41,3 minutes ago,2020-21 Tobias Harris,Cool Cats,Philadelphia 76ers,Dunk,260.00 USD,$260.00,1404.0,0x501265...e33d0b,MAC86,
42,3 minutes ago,2020-21 Keldon Johnson,Base Set,San Antonio Spurs,Dunk,16.00 USD,$16.00,4160.0,Jernst11,BoysRBuzzin,
43,3 minutes ago,2020-21 JaMychal Green,Base Set,Denver Nuggets,Dunk,2.00 USD,$2.00,4782.0,PunchingDonkeys,bibaboba,
44,3 minutes ago,NBA Top Shot (SN# 2206487),,,,50.00 USD,$50.00,,Fleo,0x1ff75e...a12554,
45,3 minutes ago,2019-20 De'Andre Hunter,Base Set,Atlanta Hawks,Dunk,192.00 USD,$192.00,1557.0,MrShowcase,SammyDub,
46,3 minutes ago,2019-20 Seth Curry,Base Set,Dallas Mavericks,Assist,27.00 USD,$27.00,2988.0,Marleau,Corabeth007,
47,3 minutes ago,2019-20 CJ McCollum,Metallic Gold LE,Portland Trail Blazers,Dunk,405.00 USD,$405.00,183.0,HawkeyeStateCards,adolescent_nurse_shark5602,
48,3 minutes ago,2020-21 Andre Drummond,Base Set,Cleveland Cavaliers,Dunk,3.00 USD,$3.00,10869.0,gucciIHOF,thegraymatters,
49,3 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11745.0,tmflynn_5,thetruth777,
50,4 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Dunk,28.00 USD,$28.00,5019.0,,AbsolootRasuperstar,
51,4 minutes ago,2019-20 Giannis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,465.00 USD,$465.00,737.0,,Averi,
52,4 minutes ago,2020-21 Deni Avdija,Base Set,Washington Wizards,3 Pointer,150.00 USD,$150.00,286.0,,biodegradable_armadillo,
53,4 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,74.00 USD,$74.00,4375.0,,0xeff42d...86b069,
54,4 minutes ago,2020-21 Otto Porter Jr.,Base Set,Chicago Bulls,Jump Shot,2.00 USD,$2.00,5508.0,,bibaboba,
55,4 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,70.00 USD,$70.00,2245.0,,paco805,
56,4 minutes ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,10.00 USD,$10.00,6040.0,,0x653ee7...e0907c,
57,4 minutes ago,2020-21 Tyrese Maxey,Base Set,Philadelphia 76ers,Layup,132.00 USD,$132.00,815.0,,Lil_Keano,
58,4 minutes ago,2019-20 Jayson Tatum,Conference Semifinals,Boston Celtics,Assist,740.00 USD,$740.00,137.0,,ProtectTheTruthPP,
59,4 minutes ago,2019-20 Bruce Brown,Base Set,Detroit Pistons,Dunk,17.00 USD,$17.00,2263.0,,Theriver,
60,4 minutes ago,NBA Top Shot (SN# 2351396),,,,3.00 USD,$3.00,,,Jimmyz,
61,4 minutes ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,177.00 USD,$177.00,6874.0,,easyaces,
62,5 minutes ago,2020-21 Andre Drummond,Base Set,Cleveland Cavaliers,Dunk,3.00 USD,$3.00,10852.0,,thegraymatters,
63,5 minutes ago,2019-20 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,71.00 USD,$71.00,3236.0,,TheGloveGP,
64,5 minutes ago,2019-20 Jamal Murray,Base Set,Denver Nuggets,Handles,55.00 USD,$55.00,3492.0,,Tony_Peanuts,
65,5 minutes ago,2020-21 De'Aaron Fox,Base Set,Sacramento Kings,Layup,8.00 USD,$8.00,7312.0,,dependable_vervet_monkey6157,
66,5 minutes ago,2020-21 Tyrese Maxey,Base Set,Philadelphia 76ers,Layup,86.00 USD,$86.00,3781.0,,35PointCards,
67,5 minutes ago,2020-21 T.J. McConnell,Base Set,Indiana Pacers,Assist,2.00 USD,$2.00,8562.0,,bibaboba,
68,5 minutes ago,2019-20 Eric Bledsoe,Base Set,Milwaukee Bucks,Assist,20.00 USD,$20.00,1432.0,,first_octopus1887,
69,5 minutes ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,Dunk,305.00 USD,$305.00,4368.0,,TheCardeologist,
70,5 minutes ago,NBA Top Shot (SN# 2336866),,,,15.00 USD,$15.00,,,0x017fa9...1a980c,
71,5 minutes ago,2019-20 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,71.00 USD,$71.00,3213.0,,Aswope11,
72,5 minutes ago,2020-21 Tyrese Haliburton,Base Set,Sacramento Kings,Jump Shot,385.00 USD,$385.00,354.0,,Ettebub,
73,5 minutes ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,3 Pointer,180.00 USD,$180.00,9341.0,,Shruminator,
74,5 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,11.00 USD,$11.00,7016.0,,chefradish,
75,5 minutes ago,2020-21 Andre Drummond,Base Set,Cleveland Cavaliers,Dunk,3.00 USD,$3.00,10845.0,,thegraymatters,
76,6 minutes ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,178.00 USD,$178.00,3687.0,,0x725e17...92402f,
77,6 minutes ago,2020-21 Aaron Gordon,Season Tip-off,Orlando Magic,Dunk,209.00 USD,$209.00,205.0,,BoKnowsJackson,
78,6 minutes ago,2020-21 Isaac Okoro,Base Set,Cleveland Cavaliers,Dunk,59.00 USD,$59.00,1115.0,,JasonStepp,
79,6 minutes ago,NBA Top Shot (SN# 1626324),,,,15.00 USD,$15.00,,,BoysRBuzzin,
80,6 minutes ago,2020-21 Steph Curry,Base Set,Golden State Warriors,3 Pointer,90.00 USD,$90.00,2233.0,,Johnnycrypto,
81,6 minutes ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,8.00 USD,$8.00,421.0,,Tommy_Gambles24,
82,6 minutes ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,10.00 USD,$10.00,3189.0,,thetruth777,
83,6 minutes ago,2019-20 RJ Barrett,Base Set,New York Knicks,Layup,237.00 USD,$237.00,2648.0,,airmax,
84,6 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,90.00 USD,$90.00,1338.0,,ewhcards,
85,6 minutes ago,2020-21 James Wiseman,Base Set,Golden State Warriors,Dunk,241.00 USD,$241.00,3007.0,,drausten,
86,6 minutes ago,2020-21 Isaiah Roby,Base Set,Oklahoma City Thunder,Dunk,7.00 USD,$7.00,4777.0,,Bounce1,
87,6 minutes ago,2019-20 Enes Kanter,Base Set,Boston Celtics,Steal,21.00 USD,$21.00,2042.0,,Cosmix,
88,6 minutes ago,2020-21 Malcolm Brogdon,Base Set,Indiana Pacers,Assist,3.00 USD,$3.00,4979.0,,thegraymatters,
89,6 minutes ago,2019-20 Zion Williamson,Base Set,New Orleans Pelicans,Block,"1,250.00 USD","$1,250.00",230.0,,SisterSquad3,
90,7 minutes ago,2020-21 Bruno Fernando,Base Set,Atlanta Hawks,Dunk,4.00 USD,$4.00,9465.0,,lindyholic,
91,7 minutes ago,NBA Top Shot (SN# 2251219),,,,19.00 USD,$19.00,,,steve,
92,7 minutes ago,2020-21 Malcolm Brogdon,Base Set,Indiana Pacers,Assist,3.00 USD,$3.00,4951.0,,thegraymatters,
93,7 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,13.00 USD,$13.00,3891.0,,chefradish,
94,7 minutes ago,NBA Top Shot (SN# 2192692),,,,5.00 USD,$5.00,,,0xd0ff46...403194,
95,7 minutes ago,2019-20 Steven Adams,Base Set,Oklahoma City Thunder,Assist,37.00 USD,$37.00,2450.0,,0x34cf8b...0362d3,
96,7 minutes ago,2020-21 Cole Anthony,Base Set,Orlando Magic,Jump Shot,105.00 USD,$105.00,2321.0,,JustinHerzig,
97,7 minutes ago,2019-20 Dennis Schröder,Metallic Gold LE,Oklahoma City Thunder,Layup,199.00 USD,$199.00,297.0,,PullParadox,
98,7 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,70.00 USD,$70.00,1824.0,,GreekFreak34,
99,7 minutes ago,2013-14 Tim Duncan,Run It Back,San Antonio Spurs,Layup,"2,170.00 USD","$2,170.00",203.0,,MrShowcase,
100,7 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,70.00 USD,$70.00,1824.0,pingu,GreekFreak34,
101,8 minutes ago,2013-14 Tim Duncan,Run It Back,San Antonio Spurs,Layup,"2,170.00 USD","$2,170.00",203.0,granular_jack_russel9443,MrShowcase,
102,8 minutes ago,2020-21 Tyrese Maxey,Base Set,Philadelphia 76ers,Layup,89.00 USD,$89.00,1435.0,pingu,JimmyTheGreek,
103,8 minutes ago,2020-21 Brandon Clarke,Base Set,Memphis Grizzlies,Layup,6.00 USD,$6.00,7216.0,PhillyCheesin,Bounce1,
104,8 minutes ago,2019-20 Joel Embiid,Base Set,Philadelphia 76ers,Assist,159.00 USD,$159.00,2741.0,scorbles,Aswope11,
105,8 minutes ago,2019-20 Cam Reddish,Base Set,Atlanta Hawks,Steal,59.00 USD,$59.00,2399.0,Rocky,Breeza,
106,8 minutes ago,2020-21 De'Aaron Fox,Base Set,Sacramento Kings,Layup,17.00 USD,$17.00,6387.0,Greenhorn1835,0x653ee7...e0907c,
107,8 minutes ago,2019-20 Kentavious Caldwell-Pope,Base Set,Los Angeles Lakers,Layup,36.00 USD,$36.00,1882.0,GoonieBrad,0x822736...1bce52,
108,8 minutes ago,2020-21 Donovan Mitchell,Base Set,Utah Jazz,Jump Shot,12.00 USD,$12.00,2540.0,ctepster,0x37becc...115ec6,
109,8 minutes ago,2019-20 JaMychal Green,Metallic Gold LE,Los Angeles Clippers,Dunk,249.00 USD,$249.00,167.0,Brix41,drywatermelon,
110,8 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,13.00 USD,$13.00,3824.0,juy12218,chefradish,
111,8 minutes ago,2020-21 Malcolm Brogdon,Base Set,Indiana Pacers,Assist,3.00 USD,$3.00,4566.0,biodegradable_armadillo,thegraymatters,
112,8 minutes ago,2020-21 Tyrese Haliburton,Base Set,Sacramento Kings,Jump Shot,265.00 USD,$265.00,2089.0,Ettebub,Cantstopmike_310,
113,9 minutes ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,10.00 USD,$10.00,4894.0,biodegradable_armadillo,Always_Hoops,
114,9 minutes ago,2019-20 Reggie Bullock,Base Set,New York Knicks,Steal,15.00 USD,$15.00,3180.0,KingsOfCardio,Kelekin,
115,9 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,11644.0,Thechek182,BigBodyBerz,
116,9 minutes ago,2019-20 Mikal Bridges,Base Set,Phoenix Suns,Dunk,25.00 USD,$25.00,3065.0,tullymack,sctmac12,
117,9 minutes ago,NBA Top Shot (SN# 1825929),,,,5.00 USD,$5.00,,Yoms,Gambit,
118,9 minutes ago,2019-20 Russell Westbrook,Base Set,Houston Rockets,Dunk,79.00 USD,$79.00,2306.0,MAC86,0x4bc98a...72e368,
119,9 minutes ago,2020-21 Jimmy Butler,Base Set,Miami Heat,Jump Shot,4.00 USD,$4.00,10492.0,Always_Hoops,baytosd,
120,9 minutes ago,2020-21 De'Aaron Fox,Base Set,Sacramento Kings,Layup,10.00 USD,$10.00,6173.0,dddd9999,0x37becc...115ec6,
121,9 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,6.00 USD,$6.00,9207.0,joltenberg47,0xd00be3...e68e3f,
122,9 minutes ago,2019-20 Pascal Siakam,Base Set,Toronto Raptors,Block,45.00 USD,$45.00,2496.0,KFG,DraftMasterVlade,
123,9 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,10801.0,half_court_shot,BigBodyBerz,
124,10 minutes ago,2019-20 JaVale McGee,Base Set,Los Angeles Lakers,Block,21.00 USD,$21.00,3275.0,Pranked,THANGUYEN,
125,10 minutes ago,2019-20 Bruce Brown,Base Set,Detroit Pistons,Dunk,14.00 USD,$14.00,2586.0,KingsOfCardio,Kelekin,
126,10 minutes ago,2019-20 James Harden,Base Set,Houston Rockets,3 Pointer,369.00 USD,$369.00,432.0,Pranked,grundum,
127,10 minutes ago,2019-20 Jarrett Allen,Base Set,Brooklyn Nets,Block,35.00 USD,$35.00,2563.0,Rocky,Kawhisenberg,
128,10 minutes ago,2020-21 Jalen Smith,Base Set,Phoenix Suns,Jump Shot,43.00 USD,$43.00,3116.0,0xfc258b...adb047,SixerNova,
129,10 minutes ago,2020-21 Josh Green,Base Set,Dallas Mavericks,Dunk,7.00 USD,$7.00,9901.0,klaysburner,Irfan,
130,10 minutes ago,2020-21 Patrick Williams,Base Set,Chicago Bulls,Layup,95.00 USD,$95.00,645.0,WalterWhite,The_Elk,
131,10 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,10130.0,WallyWalrus,BigBodyBerz,
132,11 minutes ago,2019-20 Austin Rivers,Base Set,Houston Rockets,Handles,19.00 USD,$19.00,3280.0,scorbles,IronSheik,
133,11 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,9977.0,0x265b76...22086a,BigBodyBerz,
134,11 minutes ago,2020-21 Josh Green,Base Set,Dallas Mavericks,Dunk,7.00 USD,$7.00,6823.0,Troutcaddy,Always_Hoops,
135,11 minutes ago,2020-21 Devin Vassell,Base Set,San Antonio Spurs,3 Pointer,52.00 USD,$52.00,1673.0,biodegradable_armadillo,STAYM7LO,
136,11 minutes ago,NBA Top Shot (SN# 2035014),,,,5.00 USD,$5.00,,lindyholic,Corabeth007,
137,11 minutes ago,2020-21 Tyler Herro,Base Set,Miami Heat,3 Pointer,35.00 USD,$35.00,4041.0,aaronstefanpoker,Kexvin,
138,11 minutes ago,2020-21 Tyler Herro,Base Set,Miami Heat,3 Pointer,45.00 USD,$45.00,1172.0,0xbfa04e...0c8628,0x9ed798...1a79c3,
139,11 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11937.0,BeerdadB,thetruth777,
140,11 minutes ago,2020-21 Ben Simmons,Base Set,Philadelphia 76ers,Dunk,10.00 USD,$10.00,10181.0,intelligent_tapir,0x37becc...115ec6,
141,11 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,12.00 USD,$12.00,9748.0,cesarjoseph,darko3131,
142,11 minutes ago,2020-21 Christian Wood,Base Set,Houston Rockets,Dunk,19.00 USD,$19.00,354.0,one_more_moment,The_Elk,
143,11 minutes ago,NBA Top Shot (SN# 2313657),,,,12.00 USD,$12.00,,panda,baytosd,
144,11 minutes ago,2019-20 Alex Caruso,Base Set,Los Angeles Lakers,Block,69.00 USD,$69.00,655.0,Hibb34,antc,
145,12 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,73.00 USD,$73.00,4987.0,block,SammyDub,
146,12 minutes ago,2019-20 Darius Garland,Base Set,Cleveland Cavaliers,Layup,90.00 USD,$90.00,3811.0,Cagelawyer,ThurmanMurman69,
147,12 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,9948.0,ByAnyMeansMo,BigBodyBerz,
148,12 minutes ago,2020-21 Steph Curry,Base Set,Golden State Warriors,3 Pointer,114.00 USD,$114.00,1913.0,DTByrdsBraj,SlinkJohnson,
149,12 minutes ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,176.00 USD,$176.00,6162.0,jedisolo7,0x0f313d...89938f,
150,12 minutes ago,2019-20 Darius Garland,Base Set,Cleveland Cavaliers,Layup,90.00 USD,$90.00,3811.0,Cagelawyer,ThurmanMurman69,
151,12 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,9948.0,ByAnyMeansMo,BigBodyBerz,
152,12 minutes ago,2020-21 Steph Curry,Base Set,Golden State Warriors,3 Pointer,114.00 USD,$114.00,1913.0,DTByrdsBraj,SlinkJohnson,
153,12 minutes ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,176.00 USD,$176.00,6162.0,jedisolo7,0x0f313d...89938f,
154,12 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,12.00 USD,$12.00,9594.0,BoysRBuzzin,darko3131,
155,12 minutes ago,2020-21 Jayson Tatum,Base Set,Boston Celtics,Jump Shot,28.00 USD,$28.00,1982.0,Old_dunker77,zman,
156,12 minutes ago,2020-21 Brandon Clarke,Base Set,Memphis Grizzlies,Layup,6.00 USD,$6.00,7064.0,bcickdaa,d_depalma,
157,12 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11934.0,therealKD,thetruth777,
158,12 minutes ago,2020-21 Josh Green,Base Set,Dallas Mavericks,Dunk,7.00 USD,$7.00,6137.0,LosAngelesLakers,Hangryseb,
159,12 minutes ago,2020-21 John Wall,Base Set,Houston Rockets,Dunk,10.00 USD,$10.00,8339.0,Troutcaddy,Nickfromcwe,
160,12 minutes ago,NBA Top Shot (SN# 1893125),,,,4.00 USD,$4.00,,cluttered_x_ray_tetra2642,BigBodyBerz,
161,12 minutes ago,2020-21 Tyrese Maxey,Base Set,Philadelphia 76ers,Layup,169.00 USD,$169.00,337.0,DRAYS81,biodegradable_armadillo,
162,12 minutes ago,2020-21 Marcus Smart,Base Set,Boston Celtics,Layup,2.00 USD,$2.00,6674.0,Henebee,0x39d175...b2528f,
163,13 minutes ago,2020-21 Cole Anthony,Base Set,Orlando Magic,Jump Shot,106.00 USD,$106.00,1900.0,0xf43691...c56150,BoysRBuzzin,
164,13 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11363.0,vert,thetruth777,
165,13 minutes ago,2020-21 Lonnie Walker IV,Base Set,San Antonio Spurs,Dunk,2.00 USD,$2.00,10890.0,LULU427,thegraymatters,
166,13 minutes ago,2020-21 Jarrett Allen,Base Set,Brooklyn Nets,Dunk,36.00 USD,$36.00,666.0,OJ_26,Mookieray,
167,13 minutes ago,2020-21 Jarrett Culver,Base Set,Minnesota Timberwolves,Dunk,2.00 USD,$2.00,7981.0,idol_lies,0x39d175...b2528f,
168,13 minutes ago,2020-21 Christian Wood,Base Set,Houston Rockets,Dunk,5.00 USD,$5.00,4414.0,0x7e0bda...31d318,Always_Hoops,
169,13 minutes ago,2020-21 Obi Toppin,Base Set,New York Knicks,3 Pointer,88.00 USD,$88.00,668.0,JohnnyUtah,Fauxthemoney,
170,13 minutes ago,2020-21 Killian Hayes,Base Set,Detroit Pistons,Jump Shot,50.00 USD,$50.00,3073.0,TopShotTradeUp,unripe_spider_monkey120,
171,13 minutes ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,5566.0,Swoopz,BigBodyBerz,
172,13 minutes ago,2019-20 DeMar DeRozan,Base Set,San Antonio Spurs,Dunk,39.00 USD,$39.00,2517.0,Rocky,stopnstare,
173,13 minutes ago,2020-21 Nikola Jokić,Base Set,Denver Nuggets,Dunk,12.00 USD,$12.00,9557.0,k4bong,darko3131,
174,13 minutes ago,2020-21 Caris LeVert,Base Set,Brooklyn Nets,Layup,18.00 USD,$18.00,2702.0,Spaceship97,0xe39b13...c357a2,
175,13 minutes ago,2019-20 Jaren Jackson Jr.,Base Set,Memphis Grizzlies,Dunk,84.00 USD,$84.00,3738.0,joshua,BoardManGetsPaid,
176,13 minutes ago,2020-21 Obi Toppin,Base Set,New York Knicks,3 Pointer,99.00 USD,$99.00,553.0,conscious_goji_berry3739,Daytrader,
177,13 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11795.0,eys819,sonic,
178,13 minutes ago,2019-20 Dennis Smith Jr.,Base Set,New York Knicks,Handles,14.00 USD,$14.00,2514.0,KingsOfCardio,Kelekin,
179,13 minutes ago,NBA Top Shot (SN# 1613776),,,,5.00 USD,$5.00,,jjmaleki,Gambit,
180,13 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,70.00 USD,$70.00,1584.0,pingu,basilp,
181,13 minutes ago,2020-21 Jaylen Brown,Base Set,Boston Celtics,Jump Shot,9.00 USD,$9.00,7891.0,LadDaddy,0xd00be3...e68e3f,
182,13 minutes ago,2020-21 JaMychal Green,Base Set,Denver Nuggets,Dunk,2.00 USD,$2.00,3304.0,CF2380,0x133f9a...28b051,
183,13 minutes ago,2020-21 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,7.00 USD,$7.00,1274.0,k4bong,Tommy_Gambles24,
184,13 minutes ago,NBA Top Shot (SN# 1803336),,,,5.00 USD,$5.00,,BeerdadB,thetruth777,
185,13 minutes ago,NBA Top Shot (SN# 1892657),,,,4.00 USD,$4.00,,0x7e041a...971ae3,BigBodyBerz,
186,13 minutes ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,18.00 USD,$18.00,506.0,Edog,Dayton_Flyer_85,
187,13 minutes ago,2020-21 Marcus Smart,Base Set,Boston Celtics,Layup,2.00 USD,$2.00,6777.0,idol_lies,Sexbobombtastic,
188,14 minutes ago,NBA Top Shot (SN# 1892255),,,,4.00 USD,$4.00,,SteveGomes999,BigBodyBerz,
189,14 minutes ago,2020-21 DeMarcus Cousins,Base Set,Houston Rockets,3 Pointer,3.00 USD,$3.00,5566.0,idol_lies,djkumo,
