,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
15409,20 hours ago,2019-20 Tomáš Satoranský,Base Set,Chicago Bulls,Dunk,18.00 USD,$18.00,3678.0,Mizo,0xaa0140...cb144a,
15410,20 hours ago,NBA Top Shot (SN# 2252910),,,,8.00 USD,$8.00,,Frenchise,0x3dbbb5...4c5e11,
15411,20 hours ago,2020-21 Keldon Johnson,Base Set,San Antonio Spurs,Dunk,15.00 USD,$15.00,7247.0,13_Nemesh_13,0xe0ebfd...99edd7,
15412,20 hours ago,2019-20 Jamal Murray,Base Set,Denver Nuggets,Dunk,170.00 USD,$170.00,755.0,forgotten_dingo4017,HeatFan,
15413,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,7.00 USD,$7.00,8137.0,intelligent_tapir,Goldenboy123,
15414,20 hours ago,2020-21 Serge Ibaka,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,6261.0,13_Nemesh_13,Mudshark,
15415,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,7.00 USD,$7.00,8186.0,jkiz13,Goldenboy123,
15416,20 hours ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Dunk,34.00 USD,$34.00,9450.0,Cizzilla,yeahnah,
15417,20 hours ago,2020-21 Devin Vassell,Base Set,San Antonio Spurs,3 Pointer,63.00 USD,$63.00,1246.0,ison,winnerz52,
15418,20 hours ago,2020-21 Jayson Tatum,Base Set,Boston Celtics,Jump Shot,22.00 USD,$22.00,9459.0,TheMeadows2019,Mikeystrings,
15419,20 hours ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,7.00 USD,$7.00,8484.0,Thebritteacher,Goldenboy123,
15420,20 hours ago,NBA Top Shot (SN# 2331902),,,,4.00 USD,$4.00,,boujeeIHOF,kiwi101,
15421,20 hours ago,2020-21 Jarrett Allen,Base Set,Brooklyn Nets,Dunk,32.00 USD,$32.00,513.0,kollos,CollecterD,
15422,20 hours ago,2019-20 Enes Kanter,Metallic Gold LE,Boston Celtics,Steal,290.00 USD,$290.00,27.0,Kobe4eva,Kaboon,
