,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
0,26 seconds ago,2020-21 Dwight Howard,Base Set,Philadelphia 76ers,Dunk,30.00 USD,$30.00,96.0,Peppers,0x9cf9f3...e40ded,
1,26 seconds ago,2020-21 Jaylen Brown,Base Set,Boston Celtics,Jump Shot,5.00 USD,$5.00,10642.0,Calikidan,LookinLikeLuka,
2,26 seconds ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Dunk,42.00 USD,$42.00,13914.0,spry_ostrich2230,Paschanimal_Dunks,
3,26 seconds ago,2020-21 Tyrese Haliburton,Base Set,Sacramento Kings,Jump Shot,262.00 USD,$262.00,3717.0,MediumBallerBrand,easyaces,
4,34 seconds ago,2020-21 Khris Middleton,Base Set,Milwaukee Bucks,Jump Shot,3.00 USD,$3.00,7612.0,JeffOpensCards,0xecd268...7ca560,
5,34 seconds ago,2020-21 Jerami Grant,Base Set,Detroit Pistons,Dunk,3.00 USD,$3.00,7374.0,Grantthecreator,Always_Hoops,
6,36 seconds ago,2020-21 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,4.00 USD,$4.00,9126.0,Wintershot,LookinLikeLuka,
7,36 seconds ago,2020-21 Stanley Johnson,Base Set,Toronto Raptors,Dunk,4.00 USD,$4.00,3498.0,El_Dinero,kramsac,
8,36 seconds ago,2020-21 Donovan Mitchell,Base Set,Utah Jazz,Jump Shot,10.00 USD,$10.00,9165.0,0x4ef576...40f623,0xd98fbd...9fbed3,
9,41 seconds ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,24.00 USD,$24.00,311.0,DFJr02,ViktorVaughn,
10,41 seconds ago,2019-20 Lonzo Ball,Got Game,New Orleans Pelicans,Assist,285.00 USD,$285.00,125.0,Rocky,vman93,
11,43 seconds ago,2020-21 Chris Paul,Base Set,Phoenix Suns,Assist,5.00 USD,$5.00,12629.0,Acollector,Dreamz_Entertainment,
12,43 seconds ago,2019-20 Spencer Dinwiddie,Base Set,Brooklyn Nets,Dunk,30.00 USD,$30.00,1536.0,Jiggity621,Fightingmoose,
13,46 seconds ago,2020-21 Alec Burks,Base Set,New York Knicks,Assist,4.00 USD,$4.00,7480.0,El_Dinero,Zachduke,
14,46 seconds ago,2020-21 RJ Barrett,Base Set,New York Knicks,Dunk,5.00 USD,$5.00,12543.0,0x6a102e...e2bfa5,PistonsThoughts,
15,48 seconds ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,74.00 USD,$74.00,5785.0,Tiki89,gnez,
16,51 seconds ago,2020-21 Luka Dončić,Base Set,Dallas Mavericks,Assist,68.00 USD,$68.00,3013.0,Strainer,nondairi,
17,51 seconds ago,2020-21 Troy Brown Jr.,Base Set,Washington Wizards,Block,3.00 USD,$3.00,4937.0,Vitaliy,dreamer_iynd_91,
18,51 seconds ago,2020-21 Coby White,Base Set,Chicago Bulls,3 Pointer,4.00 USD,$4.00,10055.0,Lukeness5,0xf85e4e...2418e8,
19,51 seconds ago,2020-21 Darius Bazley,Base Set,Oklahoma City Thunder,Dunk,2.00 USD,$2.00,12040.0,0xeb4c1c...201ae3,0xe2b853...3c664e,
20,57 seconds ago,2019-20 Pascal Siakam,Base Set,Toronto Raptors,Block,45.00 USD,$45.00,3505.0,Troymatthew8,0x4cc391...0da649,
21,57 seconds ago,2020-21 LeBron James,Base Set,Los Angeles Lakers,3 Pointer,198.00 USD,$198.00,4693.0,verifiable_thorny_devil125,chefradish,
22,57 seconds ago,2020-21 Deandre Ayton,Base Set,Phoenix Suns,Dunk,9.00 USD,$9.00,3346.0,AndreCronje,0x07a043...dcfe9d,
23,57 seconds ago,2019-20 Danuel House Jr.,Base Set,Houston Rockets,Dunk,17.00 USD,$17.00,2804.0,Hotchidos1,0xce3442...d6b402,
24,57 seconds ago,2020-21 John Wall,Base Set,Houston Rockets,Dunk,19.00 USD,$19.00,2885.0,RainMan,0x40e211...c7ccdb,
25,57 seconds ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,6.00 USD,$6.00,6598.0,silky_monkey9141,Tcolumbus10,
26,57 seconds ago,2020-21 Demar DeRozan,Base Set,San Antonio Spurs,Dunk,3.00 USD,$3.00,8477.0,v4ZeuS,0xfccb59...ed2d40,
27,57 seconds ago,2020-21 David Nwaba,Base Set,Houston Rockets,Dunk,4.00 USD,$4.00,10818.0,dwfiresound,Herbalicious,
28,57 seconds ago,2019-20 Mo Bamba,Base Set,Orlando Magic,Dunk,28.00 USD,$28.00,2090.0,DruidRising,kramsac,
29,59 seconds ago,2019-20 Gary Harris,Base Set,Denver Nuggets,Steal,23.00 USD,$23.00,583.0,spartyon,rogeyo,
30,59 seconds ago,2020-21 John Wall,Base Set,Houston Rockets,Dunk,14.00 USD,$14.00,8603.0,forbidden_butterfly_fish6350,0x97c1e1...d47c64,
31,59 seconds ago,2019-20 Bruce Brown,Base Set,Detroit Pistons,Dunk,17.00 USD,$17.00,2759.0,grannydimes,0xc47812...f1dd7b,
32,1 minute ago,2020-21 Bruno Fernando,Base Set,Atlanta Hawks,Dunk,5.00 USD,$5.00,5664.0,rstg2001,lubountyck,
33,1 minute ago,2019-20 Giannis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,274.00 USD,$274.00,672.0,JohnnyUtah,Betrain,
34,1 minute ago,2020-21 Steph Curry,Base Set,Golden State Warriors,Assist,35.00 USD,$35.00,1967.0,0xcadd38...82a9e0,patc02argel1,
35,1 minute ago,2020-21 Jamal Murray,Base Set,Denver Nuggets,3 Pointer,5.00 USD,$5.00,10020.0,heavy_binturong7496,ChicoSparky,
36,1 minute ago,2020-21 Domantas Sabonis,Base Set,Indiana Pacers,Dunk,5.00 USD,$5.00,3553.0,0x44617a...cf94cd,skiking08,
37,1 minute ago,2020-21 Bradley Beal,Base Set,Washington Wizards,Handles,11.00 USD,$11.00,1858.0,annual_anteater8064,DisguisedToast808,
38,1 minute ago,2020-21 Anthony Davis,Base Set,Los Angeles Lakers,Dunk,25.00 USD,$25.00,10533.0,Boof,dyltruong,
39,1 minute ago,2020-21 Obi Toppin,Base Set,New York Knicks,3 Pointer,74.00 USD,$74.00,2486.0,Jiggity621,drafty_gecko8198,
40,1 minute ago,2020-21 Dwayne Bacon,Base Set,Orlando Magic,Layup,5.00 USD,$5.00,4124.0,Grantthecreator,bonkus_melonkus,
41,1 minute ago,2019-20 Giannis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,225.00 USD,$225.00,1531.0,Phitchy87,0x151abd...50a097,
42,1 minute ago,2020-21 De'Aaron Fox,Base Set,Sacramento Kings,Layup,7.00 USD,$7.00,9898.0,warmhearted_termite8600,0xd98fbd...9fbed3,
43,1 minute ago,2020-21 Clint Capela,Base Set,Atlanta Hawks,Dunk,10.00 USD,$10.00,6338.0,foladar,Nattykid33,
44,1 minute ago,2020-21 Devin Booker,Base Set,Phoenix Suns,Dunk,10.00 USD,$10.00,8195.0,Spaceship97,ajmil0,
45,1 minute ago,2020-21 Spencer Dinwiddie,Base Set,Brooklyn Nets,Layup,3.00 USD,$3.00,9729.0,Gallobrad,rvantil14,
46,1 minute ago,2020-21 Spencer Dinwiddie,Base Set,Brooklyn Nets,Layup,39.00 USD,$39.00,33.0,pinball,0x99b143...31b09e,
47,1 minute ago,2020-21 Darius Garland,Base Set,Cleveland Cavaliers,Layup,4.00 USD,$4.00,7024.0,0x3acb12...a6faf2,0xdc702c...667826,
48,1 minute ago,2020-21 Mike Conley,Base Set,Utah Jazz,Layup,2.00 USD,$2.00,13926.0,UziClip,GoatPicks,
49,1 minute ago,2020-21 Devin Booker,Cool Cats,Phoenix Suns,3 Pointer,326.00 USD,$326.00,3351.0,0xf8d687...e9096e,0x56d909...47b6ab,
50,2 minutes ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,40.00 USD,$40.00,12337.0,bens_jammin,PJ27,
51,2 minutes ago,2019-20 Kendrick Nunn,Base Set,Miami Heat,Block,48.00 USD,$48.00,994.0,tmoneyttime1,DRobertson,
52,2 minutes ago,2020-21 Chris Paul,Base Set,Phoenix Suns,Assist,9.00 USD,$9.00,3747.0,stanbobatea,LPeppenger,
53,2 minutes ago,2019-20 Josh Okogie,Base Set,Minnesota Timberwolves,Dunk,17.00 USD,$17.00,3711.0,scorbles,0xce3442...d6b402,
54,2 minutes ago,2019-20 Jamal Murray,Base Set,Denver Nuggets,Dunk,143.00 USD,$143.00,1114.0,Arm,mattyd2420,
55,2 minutes ago,2020-21 Kelly Oubre Jr.,Base Set,Golden State Warriors,Dunk,4.00 USD,$4.00,5467.0,METALFACEDOOM,prodfresh,
56,2 minutes ago,2020-21 Deandre Ayton,Base Set,Phoenix Suns,Dunk,8.00 USD,$8.00,6109.0,0xf8d687...e9096e,0xd98fbd...9fbed3,
57,2 minutes ago,2019-20 Tyus Jones,Base Set,Memphis Grizzlies,Assist,16.00 USD,$16.00,3391.0,rstg2001,grandceltic,
58,2 minutes ago,2020-21 Fred VanVleet,Base Set,Toronto Raptors,3 Pointer,3.00 USD,$3.00,10516.0,Lukeness5,0xd4d194...4f4c4d,
59,2 minutes ago,2020-21 Demar DeRozan,Base Set,San Antonio Spurs,Dunk,23.00 USD,$23.00,345.0,one_man_weave,0x99b143...31b09e,
60,2 minutes ago,2020-21 Carmelo Anthony,Base Set,Portland Trail Blazers,Jump Shot,5.00 USD,$5.00,11016.0,DerrickRose,0xc538bc...c75392,
61,2 minutes ago,2019-20 Dillon Brooks,Base Set,Memphis Grizzlies,Assist,16.00 USD,$16.00,3173.0,dev,grandceltic,
62,2 minutes ago,2019-20 De'Aaron Fox,So Fresh,Sacramento Kings,Layup,975.00 USD,$975.00,55.0,scorbles,zachtoyo,
63,2 minutes ago,2013-14 Marc Gasol,Run It Back,Memphis Grizzlies,3 Pointer,369.00 USD,$369.00,101.0,tmoneyttime1,obedient_lion6624,
64,2 minutes ago,2020-21 Alec Burks,Base Set,New York Knicks,Assist,4.00 USD,$4.00,7097.0,El_Dinero,0xc7accd...9e44d3,
65,2 minutes ago,2020-21 Maxi Kleber,Base Set,Dallas Mavericks,3 Pointer,7.00 USD,$7.00,1572.0,every_drever1905,0x10ea75...eb7e02,
66,2 minutes ago,2020-21 LaMarcus Aldridge,Base Set,San Antonio Spurs,3 Pointer,10.00 USD,$10.00,374.0,0x2fc045...4c82b1,0x99b143...31b09e,
67,2 minutes ago,2020-21 Caris LeVert,Base Set,Brooklyn Nets,Layup,18.00 USD,$18.00,3852.0,Spaceship97,worldly_broccolini8131,
68,2 minutes ago,2019-20 Tomáš Satoranský,Base Set,Chicago Bulls,Dunk,16.00 USD,$16.00,3041.0,Bruinboy_916,grandceltic,
